Year,Max Temp,Min Temp,Total Tornadoes,Total Earthquake
2009,58.01666666666667,39.59166666666667,3,0
2010,58.436363636363645,40.07272727272727,27,1
2011,59.41666666666666,41.575,18,0
2012,63.333333333333336,43.43333333333334,6,0
2013,58.05,40.43333333333334,14,0
2014,56.51666666666667,38.18333333333334,14,0
2015,59.61666666666668,40.63333333333334,16,4
2016,61.93333333333334,42.79166666666666,16,1
2017,61.05833333333334,41.0,10,3
2018,58.975,39.34166666666667,16,4
2019,58.775,38.29166666666667,8,0
